cvu,status
1000198,success
100021,success
10003,success
100032,success
100044,success
1000442,success
100050,success
1000674,success
100079,success
100081,success
100085,success
100088,success
1000902,success
1001,success
1001075,success
1001090,success
100120,success
1001241,success
10013,success
1001359,success
100168,success
100171,success
1001750,success
10019,success
1001915,success
1002011,success
100205,success
1002125,success
100213,success
1002147,success
1002370,success
10026,success
1002678,success
1002874,success
1002980,success
100312,success
100315,success
10033,success
100335,success
1003554,success
100386,success
100388,success
100390,success
100403,success
1004120,success
1004158,success
100420,success
1004369,success
1004455,success
1004573,success
100469,success
10048,success
1004818,success
100483,success
100503,success
100504,success
1005240,success
100527,success
100535,success
1005361,success
1005381,success
10055,success
100557,success
100563,success
100566,success
100573,success
1005774,success
100583,success
100585,success
1005854,success
1005857,success
1006236,success
100658,success
1006607,success
100664,success
1006648,success
1006686,success
1006756,success
10068,success
100687,success
1006907,success
1006938,success
1006947,success
1007011,success
1007036,success
1007202,success
100728,success
10073,success
1007364,success
10074,success
1007446,success
1007705,success
100783,success
1007842,success
1007958,success
100796,success
1007981,success
1008049,success
100806,success
100817,success
100834,success
100836,success
1008364,success
100844,success
1008481,success
100882,success
100886,success
1009481,success
1009539,success
1009608,success
1009641,success
1009649,success
10097,success
1009771,success
1009916,success
1010207,success
101022,success
1010226,success
1010227,success
1010433,success
1010829,success
1010961,success
101111,success
101112,success
101115,success
101119,success
101121,success
101122,success
101126,success
101132,success
101138,success
101140,success
101143,success
1011474,success
1011486,success
10118,success
1011825,success
101183,success
101185,success
101209,success
1012103,success
10122,success
101229,success
101242,success
101246,success
101247,success
1012535,success
101254,success
101257,success
101278,success
101279,success
101308,success
1013174,success
1013196,success
1013255,success
101354,success
1013559,success
1013565,success
1013672,success
1013675,success
10137,success
101374,success
1013746,success
1013756,success
1013829,success
101386,success
1013915,success
101399,success
1014077,success
1014094,success
101414,success
1014200,success
1014208,success
101422,success
1014245,success
1014264,success
1014299,success
1014324,success
1014339,success
1014348,success
1014365,success
1014465,success
1014489,success
101449,success
1014491,success
1014535,success
1014540,success
1014554,success
101457,success
101462,success
101464,success
1014675,success
1014688,success
1014691,success
1014727,success
1014739,success
1014743,success
1014747,success
1014758,success
101481,success
1014855,success
101487,success
1014901,success
101493,success
1014933,success
101496,success
1014983,success
101501,success
1015100,success
1015214,success
1015215,success
101534,success
101536,success
1015432,success
1015434,success
101552,success
1015641,success
101565,success
101568,success
101579,success
1015868,success
101587,success
101590,success
1015988,success
101605,success
101612,success
1016143,success
1016287,success
101634,success
101645,success
10165,success
101660,success
101669,success
101671,success
101672,success
1016902,success
101693,success
1016940,success
101703,success
101710,success
101716,success
1017324,success
101734,success
101739,success
101742,success
1017428,success
1017542,success
101755,success
101767,success
101772,success
1017740,success
1017794,success
1017816,success
101784,success
1017846,success
1017858,success
1017894,success
1017910,success
1018188,success
1018249,success
101841,success
101844,success
101847,success
101848,success
101853,success
101855,success
101867,success
1018788,success
1018974,success
1018996,success
1019004,success
1019017,success
101905,success
1019193,success
1019194,success
1019256,success
1019273,success
1019277,success
1019286,success
1019324,success
1019332,success
1019336,success
1019369,success
101945,success
1019473,success
1019479,success
1019485,success
1019551,success
101961,success
101962,success
101966,success
1019662,success
101972,success
1019736,success
101979,success
1019829,success
1019845,success
1019882,success
101992,success
1019933,success
1019963,success
1019979,success
102000,success
1020006,success
1020011,success
1020015,success
1020031,success
1020051,success
1020092,success
102011,success
102013,success
102017,success
1020183,success
1020188,success
1020189,success
102021,success
1020232,success
1020235,success
102024,success
1020273,success
1020277,success
1020397,success
1020492,success
1020500,success
1020510,success
102057,success
1020607,success
1020649,success
1020653,success
1020698,success
1020747,success
102079,success
1020817,success
1020831,success
102085,success
102093,success
102096,success
1020975,success
1020978,success
1021004,success
1021005,success
1021062,success
1021097,success
1021106,success
1021130,success
1021142,success
1021144,success
1021148,success
1021150,success
1021151,success
1021152,success
1021160,success
1021207,success
1021212,success
1021270,success
1021302,success
1021319,success
1021343,success
1021346,success
1021377,success
1021381,success
1021387,success
1021425,success
1021444,success
1021449,success
1021450,success
1021468,success
1021471,success
1021472,success
1021480,success
1021515,success
1021517,success
1021526,success
1021552,success
1021555,success
1021556,success
1021558,success
1021565,success
1021572,success
1021578,success
1021580,success
1021582,success
1021583,success
1021586,success
1021587,success
1021588,success
1021591,success
1021593,success
1021598,success
1021601,success
1021603,success
1021604,success
1021605,success
1021607,success
1021608,success
1021609,success
1021610,success
1021611,success
1021612,success
1021613,success
1021614,success
1021616,success
1021623,success
102163,success
1021631,success
1021637,success
1021663,success
1021681,success
1021707,success
1021712,success
1021795,success
1021802,success
1021823,success
1021830,success
1021831,success
1021833,success
1021836,success
1021837,success
1021838,success
1021839,success
1021842,success
1021843,success
1021844,success
1021845,success
1021846,success
1021848,success
1021849,success
1021851,success
1021854,success
1021856,success
